protocol_id,preprocessing_protocol,trace_protocol,kernel_normalization,seed,q,model,model_f1,baseline_f1,baseline,delta_f1
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,3,6,merlin_fidelity,0.6666666666666666,0.6956521739130435,rbf_tuned,-0.02898550724637683
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,4,6,merlin_fidelity,0.8,0.8387096774193549,rbf_tuned,-0.03870967741935483
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,5,6,merlin_fidelity,0.8333333333333334,0.88,rbf_tuned,-0.046666666666666634
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,6,6,merlin_fidelity,0.9166666666666666,0.96,rbf_tuned,-0.043333333333333335
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,7,6,merlin_fidelity,0.5882352941176471,0.7368421052631579,rbf_tuned,-0.14860681114551078
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,8,6,merlin_fidelity,0.6956521739130435,0.7272727272727273,rbf_tuned,-0.031620553359683834
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,9,6,merlin_fidelity,0.782608695652174,0.9090909090909092,rbf_tuned,-0.12648221343873522
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,0,6,qsvm,0.9090909090909092,0.8695652173913043,linear_c1,0.03952569169960485
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,1,6,qsvm,0.8125,0.7692307692307693,linear_c1,0.043269230769230727
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,2,6,qsvm,0.7567567567567568,0.7142857142857143,linear_c1,0.0424710424710425
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,3,6,qsvm,0.6896551724137931,0.7619047619047619,linear_c1,-0.07224958949096871
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,4,6,qsvm,0.7567567567567568,0.8275862068965517,linear_c1,-0.07082945013979491
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,5,6,qsvm,0.8148148148148148,0.88,linear_c1,-0.06518518518518523
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,6,6,qsvm,0.96,0.9166666666666666,linear_c1,0.043333333333333335
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,7,6,qsvm,0.8181818181818182,0.5882352941176471,linear_c1,0.22994652406417115
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,8,6,qsvm,0.8571428571428571,0.75,linear_c1,0.1071428571428571
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,9,6,qsvm,0.8461538461538461,0.782608695652174,linear_c1,0.0635451505016722
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,0,6,qsvm,0.9090909090909092,0.8571428571428571,rbf_tuned,0.051948051948052076
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,1,6,qsvm,0.8125,0.8571428571428571,rbf_tuned,-0.044642857142857095
