scope,protocol,dataset,dataset_split,dataset_sha256,representation,model,pca_dim,n_samples,data_seed,split_id,train_samples,val_samples,test_samples,minority_label,test_minority_samples,svc_c,c_selection,c_grid,kernel_normalization,train_minority_f1,val_minority_f1,test_minority_f1,test_accuracy,test_auc
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,500,7,64d98918d85162e334f688b5a2643dfe256a89d0ee0e9fef384061bb29e532de,400,50,50,normal,11,1.0,fixed,1.0,none,0.8044692737430168,0.7272727272727273,0.7058823529411765,0.9,0.958041958041958
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,500,7,64d98918d85162e334f688b5a2643dfe256a89d0ee0e9fef384061bb29e532de,400,50,50,normal,11,1.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.8587570621468926,0.8333333333333334,0.5,0.84,0.9254079254079254
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,500,8,1b9661f7df695a8d7c0f08b5e11a225430338492909453b4adb9c7a6a50dcd1d,400,50,50,normal,13,1.0,fixed,1.0,upstream_trace,0.0,0.896551724137931,0.8148148148148148,0.9,0.869022869022869
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,500,8,1b9661f7df695a8d7c0f08b5e11a225430338492909453b4adb9c7a6a50dcd1d,400,50,50,normal,13,1.0,fixed,1.0,none,0.8725490196078431,0.9230769230769232,0.6666666666666666,0.84,0.945945945945946
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,500,8,1b9661f7df695a8d7c0f08b5e11a225430338492909453b4adb9c7a6a50dcd1d,400,50,50,normal,13,1.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.926829268292683,0.88,0.6956521739130435,0.86,0.9563409563409564
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,4,500,9,53506d95ce2924cbf66c9b76bc3bcefda70aa78b41916f8eaf35f79fba143322,400,50,50,normal,12,1.0,fixed,1.0,upstream_trace,0.0,0.7692307692307693,0.88,0.94,0.9429824561403508
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,4,500,9,53506d95ce2924cbf66c9b76bc3bcefda70aa78b41916f8eaf35f79fba143322,400,50,50,normal,12,1.0,fixed,1.0,none,0.75,0.7619047619047619,0.7619047619047619,0.9,0.975877192982456
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,4,500,9,53506d95ce2924cbf66c9b76bc3bcefda70aa78b41916f8eaf35f79fba143322,400,50,50,normal,12,1.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.8275862068965517,0.8695652173913043,0.8571428571428571,0.94,0.9956140350877192
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,6,500,0,436882a1f677daf14e64f79d1aea11f3c68b2cff17faa53759aff9286eef94c8,400,50,50,normal,12,1.0,fixed,1.0,upstream_trace,0.0,0.7142857142857143,0.9090909090909092,0.96,0.8771929824561403
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,6,500,0,436882a1f677daf14e64f79d1aea11f3c68b2cff17faa53759aff9286eef94c8,400,50,50,normal,12,1.0,fixed,1.0,none,0.8287292817679558,0.64,0.8695652173913043,0.94,0.993421052631579
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,6,500,0,436882a1f677daf14e64f79d1aea11f3c68b2cff17faa53759aff9286eef94c8,400,50,50,normal,12,10.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.9430051813471504,0.8,0.8571428571428571,0.94,0.9605263157894736
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,6,500,1,3341a8769bd842a7abe8baf5d0b71b7741f5ffd12c1e62fbac3520e4a4f8aeea,400,50,50,normal,13,1.0,fixed,1.0,upstream_trace,0.0,0.88,0.8125,0.88,0.9054054054054056
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,6,500,1,3341a8769bd842a7abe8baf5d0b71b7741f5ffd12c1e62fbac3520e4a4f8aeea,400,50,50,normal,13,1.0,fixed,1.0,none,0.82,0.7619047619047619,0.7692307692307693,0.88,0.945945945945946
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,6,500,1,3341a8769bd842a7abe8baf5d0b71b7741f5ffd12c1e62fbac3520e4a4f8aeea,400,50,50,normal,13,10.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.926605504587156,0.8181818181818182,0.8571428571428571,0.92,0.9688149688149688
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,6,500,2,efeeea7fb3745a66dd6aa16b6aaf69297662574967f7d3ec3ada6f87ef8e27d4,400,50,50,normal,14,1.0,fixed,1.0,upstream_trace,0.0,0.8571428571428571,0.7567567567567568,0.82,0.875
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,6,500,2,efeeea7fb3745a66dd6aa16b6aaf69297662574967f7d3ec3ada6f87ef8e27d4,400,50,50,normal,14,1.0,fixed,1.0,none,0.8450704225352113,0.75,0.7142857142857143,0.84,0.9365079365079364
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,6,500,2,efeeea7fb3745a66dd6aa16b6aaf69297662574967f7d3ec3ada6f87ef8e27d4,400,50,50,normal,14,1.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.905829596412556,0.7692307692307693,0.7272727272727273,0.82,0.9305555555555556
open_data_surrogate,upstream_baseline,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,qsvm,6,500,3,7f88edeafa8e3557a1da200364a043cf5850679a59ef4d94d006b7ff4fbebcd1,400,50,50,normal,12,1.0,fixed,1.0,upstream_trace,0.0,0.8461538461538461,0.6896551724137931,0.82,0.8530701754385965
open_data_surrogate,classical_c1,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,linear_svm,6,500,3,7f88edeafa8e3557a1da200364a043cf5850679a59ef4d94d006b7ff4fbebcd1,400,50,50,normal,12,1.0,fixed,1.0,none,0.8152173913043478,0.75,0.7619047619047619,0.9,0.9473684210526316
open_data_surrogate,classical_rbf_validation_tuned,PneumoniaMNIST,official_train_resplit_80_10_10,8190553f2fc4ee41cd210a11616b488448e6d5ad4eb57cb0263f6e3f8907d011,raw_pixels,rbf_svm,6,500,3,7f88edeafa8e3557a1da200364a043cf5850679a59ef4d94d006b7ff4fbebcd1,400,50,50,normal,12,1.0,validation_minority_f1,"0.01,0.1,1.0,10.0,100.0",none,0.8677248677248677,0.7692307692307693,0.6956521739130435,0.86,0.9583333333333334
